"Manager","Report Date","Value ($000)","Shares","Option Type"
"Selective Wealth Management, Inc.","12/31/2023","268","12,420",""
"Baron Wealth Management LLC","12/31/2023","272","12,325",""
"Credit Agricole S A","12/31/2023","270","12,252",""
"FINANCIAL COUNSELORS INC","12/31/2023","266","12,061",""
"KARPAS STRATEGIES, LLC","12/31/2023","265","12,000",""
"FDx Advisors, Inc.","12/31/2023","261","11,799",""
"Atomi Financial Group, Inc.","12/31/2023","259","11,742",""
"Crescent Grove Advisors, LLC","12/31/2023","257","11,652",""
"Tower Research Capital LLC (TRC)","12/31/2023","253","11,453",""
"Caprock Group, LLC","12/31/2023","247","11,181",""
"J.W. COLE ADVISORS, INC.","12/31/2023","246","11,163",""
"PERSONAL CFO SOLUTIONS, LLC","12/31/2023","245","11,126",""
"Pekin Hardy Strauss, Inc.","12/31/2023","245","11,124",""
"Campbell & CO Investment Adviser LLC","12/31/2023","243","11,010",""
"Gulf International Bank (UK) Ltd","12/31/2023","242","10,988",""
"PARK AVENUE SECURITIES LLC","12/31/2023","241","10,904",""
