"Manager","Report Date","Value ($000)","Shares","Option Type"
"Lindbrook Capital, LLC","12/31/2022","69","1,422",""
"Accel Wealth Management","12/31/2022","65","1,335",""
"Register Financial Advisors LLC","12/31/2022","64","1,324",""
"Hexagon Capital Partners LLC","12/31/2022","59","1,213",""
"Kistler-Tiffany Companies, LLC","12/31/2022","59","1,210",""
"Mondrian Investment Partners LTD","12/31/2022","78","1,172",""
"UMB Bank, n.a.","12/31/2022","57","1,162",""
"Plante Moran Financial Advisors, LLC","12/31/2022","55","1,137",""
"WHITTIER TRUST CO","12/31/2022","48","1,000",""
"BDO Wealth Advisors, LLC","12/31/2022","44","903",""
"AdvisorNet Financial, Inc","12/31/2022","44","901",""
"BAROMETER CAPITAL MANAGEMENT INC.","12/31/2022","43","900",""
"AMUNDI","12/31/2022","0","898",""
"Glassman Wealth Services","12/31/2022","42","864",""
"Steward Partners Investment Advisory, LLC","12/31/2022","40","836",""
"LORING WOLCOTT & COOLIDGE FIDUCIARY ADVISORS LLP/MA","12/31/2022","39","800",""
"Clearstead Advisors, LLC","12/31/2022","36","750",""
"NewEdge Advisors, LLC","12/31/2022","36","750",""
"Pinnacle Bancorp, Inc.","12/31/2022","36","735",""
"Jackson, Grant Investment Advisers, Inc.","12/31/2022","34","700",""
"Spire Wealth Management","12/31/2022","32","650",""
"Princeton Global Asset Management LLC","12/31/2022","32","650",""
"HM PAYSON & CO","12/31/2022","30","630",""
"PRIVATE TRUST CO NA","12/31/2022","30","623",""
"HALL LAURIE J TRUSTEE","12/31/2022","29","600",""
"Lipe & Dalton","12/31/2022","28","575",""
"CWM, LLC","12/31/2022","27","549",""
"One Wealth Advisors, LLC","12/31/2022","26","538",""
"MASSMUTUAL TRUST CO FSB/ADV","12/31/2022","26","535",""
"BENJAMIN F. EDWARDS & COMPANY, INC.","12/31/2022","26","525",""
"CENTRAL TRUST Co","12/31/2022","24","500",""
"North Star Investment Management Corp.","12/31/2022","24","500",""
"VAN LANSCHOT KEMPEN INVESTMENT MANAGEMENT N.V.","12/31/2022","42","474",""
"Zions Bancorporation, N.A.","12/31/2022","21","449",""
"Banque Cantonale Vaudoise","12/31/2022","21","420",""
"Knott David M Jr","12/31/2022","20","400",""
