"Manager","Report Date","Value ($000)","Shares","Option Type"
"CAPITAL FUND MANAGEMENT S.A.","12/31/2023","3,050","47,200","put"
"WASATCH ADVISORS LP","12/31/2023","3,008","46,550",""
"Harvest Portfolios Group Inc.","12/31/2023","2,982","46,159",""
"TRUIST FINANCIAL CORP","12/31/2023","2,961","45,836",""
"Raymond James Financial Services Advisors, Inc.","12/31/2023","2,933","45,402",""
"Tacita Capital Inc","12/31/2023","2,929","45,197",""
"Janney Montgomery Scott LLC","12/31/2023","2,790","43,175",""
"Cubist Systematic Strategies, LLC","12/31/2023","2,785","43,100","put"
"Rathbones Group PLC","12/31/2023","2,698","41,565",""
"PNC FINANCIAL SERVICES GROUP, INC.","12/31/2023","2,684","41,548",""
"CITADEL ADVISORS LLC","12/31/2023","2,583","39,982",""
"Cambridge Investment Research Advisors, Inc.","12/31/2023","2,532","39,190",""
"Cardinal Capital Management","12/31/2023","2,499","38,686",""
"Cassaday & Co Wealth Management LLC","12/31/2023","2,492","38,566",""
"CenterBook Partners LP","12/31/2023","2,454","37,977",""
"Equitable Holdings, Inc.","12/31/2023","2,430","37,610",""
"TRUST CO OF VERMONT","12/31/2023","2,387","36,945",""
"Campbell & CO Investment Adviser LLC","12/31/2023","2,354","36,432",""
"Verition Fund Management LLC","12/31/2023","2,310","35,752",""
"WRIGHT INVESTORS SERVICE INC","12/31/2023","2,259","34,967",""
"Cetera Advisor Networks LLC","12/31/2023","2,235","34,594",""
"MEAG MUNICH ERGO, Kapitalanlagegesellschaft mbH","12/31/2023","2,146","33,059",""
"GRIMES & COMPANY, INC.","12/31/2023","2,119","32,804",""
"Y-Intercept (Hong Kong) Ltd","12/31/2023","2,111","32,673",""
"YOUSIF CAPITAL MANAGEMENT, LLC","12/31/2023","2,092","32,380",""
"Claro Advisors LLC","12/31/2023","2,081","32,207",""
"GRIES FINANCIAL LLC","12/31/2023","2,038","31,546",""
"FOSTER & MOTLEY INC","12/31/2023","2,011","31,118",""
"Cresset Asset Management, LLC","12/31/2023","2,001","30,981",""
"LINCOLN NATIONAL CORP","12/31/2023","1,987","30,760",""
"PARK CIRCLE Co","12/31/2023","1,925","29,800",""
"Pathstone Holdings, LLC","12/31/2023","1,910","29,558",""
"WealthTrust Axiom LLC","12/31/2023","1,900","29,412",""
"BLAIR WILLIAM & CO/IL","12/31/2023","1,846","28,580",""
"Weaver C. Barksdale & Associates, Inc.","12/31/2023","1,817","28,051",""
"Allspring Global Investments Holdings, LLC","12/31/2023","1,805","27,943",""
"Creegan & Nassoura Financial Group, LLC","12/31/2023","1,796","27,800",""
"PARSONS CAPITAL MANAGEMENT INC/RI","12/31/2023","1,788","27,670",""
"Pathway Financial Advisers, LLC","12/31/2023","1,787","27,655",""
"Cetera Investment Advisers","12/31/2023","1,771","27,410",""
"HIGHLAND CAPITAL MANAGEMENT, LLC","12/31/2023","1,767","27,350",""
"DELTA FINANCIAL ADVISORS LLC","12/31/2023","1,756","27,181",""
"Moors & Cabot, Inc.","12/31/2023","1,739","26,916",""
"PINNACLE ASSOCIATES LTD","12/31/2023","1,708","26,440",""
"Family Legacy, Inc.","12/31/2023","1,691","26,179",""
"Schonfeld Strategic Advisors LLC","12/31/2023","1,686","26,100",""
"PLIMOTH TRUST CO LLC","12/31/2023","1,654","25,602",""
"Granite Bay Wealth Management, LLC","12/31/2023","1,511","25,200",""
"Ashton Thomas Private Wealth, LLC","12/31/2023","1,614","24,986",""
"Lombard Odier Asset Management (Switzerland) SA","12/31/2023","1,605","24,826",""
"Crescent Sterling, Ltd.","12/31/2023","1,594","24,670",""
"Hudson Portfolio Management LLC","12/31/2023","1,587","24,563",""
"SECURITY NATIONAL BANK OF SO DAK","12/31/2023","1,542","23,867",""
"Applied Capital LLC/FL","12/31/2023","1,515","23,458",""
"ALBERT D MASON INC","12/31/2023","1","23,325",""
"Eisler Capital (UK) Ltd.","12/31/2023","1,502","23,253",""
"Main Line Retirement Advisors, LLC","12/31/2023","1,502","23,248",""
"M Holdings Securities, Inc.","12/31/2023","1,502","23,241",""
"SECURITY NATIONAL BANK OF SIOUX CITY IOWA /IA/","12/31/2023","1,496","23,160",""
"Walleye Trading LLC","12/31/2023","1,492","23,100","put"
"Integrated Wealth Concepts LLC","12/31/2023","1,469","22,744",""
"Private Advisor Group, LLC","12/31/2023","1,464","22,667",""
"Coastline Trust Co","12/31/2023","1,427","22,084",""
"Vanguard Personalized Indexing Management, LLC","12/31/2023","1,420","21,980",""
"RHUMBLINE ADVISERS","12/31/2023","1,420","21,979",""
"UMB Bank, n.a.","12/31/2023","1,419","21,974",""
"Cerity Partners LLC","12/31/2023","1,402","21,710",""
"Virtu Financial LLC","12/31/2023","1,379","21,334",""
"Laird Norton Wetherby Wealth Management, LLC","12/31/2023","1,373","21,256",""
"Bard Financial Services, Inc.","12/31/2023","1,371","21,230",""
"COMMONS CAPITAL, LLC","12/31/2023","1,358","21,019",""
"D. E. Shaw & Co., Inc.","12/31/2023","1,348","20,876",""
"HORIZON KINETICS ASSET MANAGEMENT LLC","12/31/2023","1,337","20,700",""
"Stratos Wealth Partners, LTD.","12/31/2023","1,300","20,126",""
"SIGNATUREFD, LLC","12/31/2023","1,295","20,044",""
"US BANCORP \DE\","12/31/2023","1,289","19,956",""
"CAPTRUST FINANCIAL ADVISORS","12/31/2023","1,253","19,395",""
"TRANSCEND CAPITAL ADVISORS, LLC","12/31/2023","1,225","18,966",""
"Valmark Advisers, Inc.","12/31/2023","1,221","18,902",""
"Columbus Macro, LLC","12/31/2023","1,169","18,306",""
"ACADIAN ASSET MANAGEMENT LLC","12/31/2023","1,188","18,300",""
"AJOVista, LLC","12/31/2023","1,175","18,200",""
"WEALTH ENHANCEMENT ADVISORY SERVICES, LLC","12/31/2023","1,162","17,983",""
"PRIO WEALTH LIMITED PARTNERSHIP","12/31/2023","1,117","17,294",""
"Radnor Capital Management, LLC","12/31/2023","1,114","17,233",""
"Mirabaud Asset Management Ltd","12/31/2023","1,104","17,040",""
"Pacer Advisors, Inc.","12/31/2023","1,093","16,917",""
"COBBLESTONE CAPITAL ADVISORS LLC /NY/","12/31/2023","1,074","16,630",""
"LGT Group Foundation","12/31/2023","1,045","16,250",""
"KESTRA PRIVATE WEALTH SERVICES, LLC","12/31/2023","1,049","16,238",""
"CENTRAL TRUST Co","12/31/2023","1,032","15,978",""
"HM PAYSON & CO","12/31/2023","1,028","15,921",""
"Massachusetts Wealth Management","12/31/2023","1,027","15,893",""
"V-Square Quantitative Management LLC","12/31/2023","1,353","15,808",""
"Steward Partners Investment Advisory, LLC","12/31/2023","1,009","15,617",""
"Aigen Investment Management, LP","12/31/2023","1,004","15,539",""
"Sky Investment Group LLC","12/31/2023","975","15,100",""
"AMERICAN ASSETS INC","12/31/2023","969","15,000",""
"DONALDSON CAPITAL MANAGEMENT, LLC","12/31/2023","965","14,947",""
"Point72 Asset Management, L.P.","12/31/2023","965","14,935",""
"Balanced Rock Investment Advisor","12/31/2023","951","14,729",""
"Pacific Wealth Strategies Group, Inc.","12/31/2023","944","14,619",""
"SEVEN EIGHT CAPITAL, LP","12/31/2023","939","14,532",""
"Orion Porfolio Solutions, LLC","12/31/2023","942","14,482",""
"Orion Portfolio Solutions, LLC","12/31/2023","942","14,482",""
"Walter Public Investments Inc.","12/31/2023","934","14,469",""
"EVERGREEN CAPITAL MANAGEMENT LLC","12/31/2023","926","14,343",""
"BLUE SQUARE ASSET MANAGEMENT, LLC","12/31/2023","922","14,272",""
"Probity Advisors, Inc.","12/31/2023","915","14,170",""
"Jefferies Financial Group Inc.","12/31/2023","898","13,900",""
"BESSEMER GROUP INC","12/31/2023","898","13,856",""
"RITHOLTZ WEALTH MANAGEMENT","12/31/2023","868","13,436",""
"GSB Wealth Management, LLC","12/31/2023","867","13,417",""
"DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main","12/31/2023","865","13,400",""
"SILVERLAKE WEALTH MANAGEMENT LLC","12/31/2023","853","13,212",""
"Leo Wealth, LLC","12/31/2023","805","13,066",""
"Quilter Plc","12/31/2023","839","13,065",""
"AVANTAX ADVISORY SERVICES, INC.","12/31/2023","840","12,999",""
"GLENMEDE TRUST CO NA","12/31/2023","830","12,855",""
"SYON CAPITAL LLC","12/31/2023","829","12,840",""
"SYON CAPITAL LLC","12/31/2023","829","12,840",""
"HAP Trading, LLC","12/31/2023","1","12,800","put"
"VALLEY NATIONAL ADVISERS INC","12/31/2023","817","12,658",""
"Kestra Advisory Services, LLC","12/31/2023","809","12,529",""
"180 WEALTH ADVISORS, LLC","12/31/2023","794","12,364",""
"Qtron Investments LLC","12/31/2023","784","12,079",""
"First Trust Direct Indexing L.P.","12/31/2023","778","12,042",""
"Tower Research Capital LLC (TRC)","12/31/2023","776","12,021",""
"Cyndeo Wealth Partners, LLC","12/31/2023","775","12,004",""
"ARS Wealth Advisors Group, LLC","12/31/2023","775","12,000",""
"D.A. DAVIDSON & CO.","12/31/2023","774","11,981",""
"RAYMOND JAMES TRUST N.A.","12/31/2023","750","11,616",""
"NOMURA ASSET MANAGEMENT CO LTD","12/31/2023","749","11,606",""
"Plante Moran Financial Advisors, LLC","12/31/2023","748","11,578",""
"Boston Trust Walden Corp","12/31/2023","746","11,550",""
"NorthRock Partners, LLC","12/31/2023","740","11,461",""
"TWO SIGMA SECURITIES, LLC","12/31/2023","736","11,400","put"
"Consolidated Portfolio Review Corp","12/31/2023","736","11,397",""
"Forum Financial Management, LP","12/31/2023","735","11,378",""
"Gulf International Bank (UK) Ltd","12/31/2023","719","11,131",""
"Community Bank, N.A.","12/31/2023","710","11,003",""
"Archer Investment Corp","12/31/2023","710","11,000",""
"Cetera Advisors LLC","12/31/2023","706","10,932",""
"Campion Asset Management","12/31/2023","689","10,673",""
"SkyOak Wealth, LLC","12/31/2023","684","10,591",""
"Ninepoint Partners LP","12/31/2023","682","10,557",""
"MGO ONE SEVEN LLC","12/31/2023","678","10,501",""
"TD PRIVATE CLIENT WEALTH LLC","12/31/2023","668","10,339",""
"Hartford Financial Management Inc.","12/31/2023","664","10,276",""
"OPPENHEIMER & CO INC","12/31/2023","655","10,137",""
"VICTORY CAPITAL MANAGEMENT INC","12/31/2023","651","10,086",""
"Beacon Pointe Advisors, LLC","12/31/2023","651","10,085",""
